iter	compliance	FCS	theta_only	hj_trial	reinit_trial	accepted_source_detail
23	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
24	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
25	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
26	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
27	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
28	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
29	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
30	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
31	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
32	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
33	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
34	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
35	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
36	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
37	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
38	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
39	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
40	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
41	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
42	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
43	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
44	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
